رقم المحضر,اسم الجامع/مسجد,الموقع,تاريخ الزيارة (هجري),التاريخ الميلادي (تقريبي),المسببات,الإجراء المتخذ,رقم عداد الكهرباء,نوع المخالفة,Unnamed: 9
1,مسجد الأمير طلال,الرياض/الناصرية,21/12/1446,17/06/2025,تشغيل الانارات 2-اكباس,تمت المعالجة,KFM2120660262195,تشغيل مكيفات او انارة خارج اوقات الصلاة,
2,جامع فهد الفهيد,الرياض/غرناطة,21/12/1446,17/06/2025,تشغيل الانارات 2-اكباس,تمت المعالجة,KFM2020660174441,تشغيل مكيفات او انارة خارج اوقات الصلاة,
3,مسجد الجفال,الرياض/ عتيقة,21/12/1446,17/06/2025,1-تشغيل الانارات 2-اكباس,تمت المعالجة,KFM2020660018905,تشغيل مكيفات او انارة خارج اوقات الصلاة,
4,جامع أم المؤمنين,الرياض/ غرناطة,21/12/1446,17/06/2025,1-تشغيل الانارات 2-اكباس,تمت المعالجة,KFM2020660176771,تشغيل مكيفات او انارة خارج اوقات الصلاة,
5,مسجد نورة العساف,الرياض/ حطين,22/12/1446,18/06/2025,تشغيل جميع المكيفات المركزية,تمت المعالجة,KFM2020660053662,تشغيل مكيفات او انارة خارج اوقات الصلاة,
6,جامع رياض الصالحين,الرياض/ المروج,22/12/1446,18/06/2025,وجود برادات 2-تشغيل أكباس,تمت المعالجة,KFM2020660173656,تشغيل مكيفات او انارة خارج اوقات الصلاة,
7,جامع سليمان البسام,الرياض/ قرطبة,23/12/1446,19/06/2025,إنارات 2- أكباس خارجية 3- بلازما,تمت المعالجة,KFM2120660256039,تشغيل مكيفات او انارة خارج اوقات الصلاة,
8,جامع الملك فهد,الرياض / الناصرية,21/12/1446,17/06/2025,تعدي كهرباء سحب كيبل 2-تشغيل الإنارات والأكباس 3-التكييف,تمت المعالجة,KFM2120660300949,تعدي للكهرباء,
9,جامع محمد القاضي,الرياض / التعاون,22/12/1446,18/06/2025,ارتباط مدرسة-اكباس 3-تكييف 4-عدم إغلاق دورات المياه 5-تعدي خيمتين,تمت المعالجة,KFM2020660173879,تعدي للكهرباء,
10,جامع أل عشيوان,الرياض / عريجاء الوسطى,21/12/1446,17/06/2025,إنارات 2-ملاحق في سرحة الجامع مرتبطة مع الكهرباء.,تمت المعالجة,KFM2020660164488,تشغيل مكيفات او انارة خارج اوقات الصلاة,
